Brand.Code,Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,Carb.Temp,PSC,PSC.Fill,PSC.CO2,Mnf.Flow,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure2,Hyd.Pressure3,Hyd.Pressure4,Filler.Level,Filler.Speed,Temperature,Usage.cont,Carb.Flow,Density,MFR,Balling,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Pressure.Setpoint,Air.Pressurer,Alch.Rel,Carb.Rel,Balling.Lvl
D,5.48,24.03333333,0.27,65.4,134.6,0.1934,0.4,0.04,-100,116.6,46,0,0,0,96,129.4,7939410.695367224,66,21.66,2950,0.88,264578.2992059206,1.398,-3.8,8.80655574798584,-3.624582423211284,8446.70477753752,45.2,0.9930599680312793,6.56,5.34,1.48
A,5.393333333,23.95333333,0.226666667,63.2,135,0.042,0.22,0.08,-100,118.8,46.2,0,0,0,112,120,8043319.392066751,65.6,17.6,2916,1.5,270575.2423135925,2.942,-4.4,8.63286304473877,-3.343933862517585,7197.161911225592,46,0.9932420582441408,7.14,5.58,3.04
B,5.293333333,23.92,0.303333333,66.4,140.4,0.068,0.1,0.02,-100,120.2,45.8,0,0,0,98,119.4,8035302.432289879,65.6,24.18,3056,0.9,269840.3098593728,1.448,-4.2,8.761995315551758,-2.9532391697428935,7197.161911225592,46,0.9932420582441408,6.52,5.34,1.46
B,5.266666667,23.94,0.186,64.8,139,0.004,0.2,0.02,-100,124.8,40,0,0,0,126,120.2,509801.5982785199,69,18.12,28,0.74,10106.506844911488,1.056,-4,8.933292388916016,-1.890203703774001,7197.161911225592,46,0.9932420582441408,6.48,5.5,1.48
B,5.406666667,24.09333333,0.16,69.4,142.2,0.04,0.3,0.06,-100,115,51.4,0,0,0,94,116,8067394.254500205,66.4,21.32,3214,0.88,282620.38780382636,1.398,-4,8.54617691040039,-2.417555954170016,7197.161911225592,50,0.9932420582441408,6.5,5.38,1.46
B,5.286666667,24.10666667,0.212,73.4,147.2,0.078,0.22,0.02,-100,118.6,46.4,0,0,0,94,120.4,8035302.432289879,66.6,18,3064,0.84,267787.81592611666,1.298,-3.8,8.67634391784668,-2.6482522378471693,7197.161911225592,46,0.9932420582441408,6.5,5.42,1.44
A,5.48,23.93333333,0.243333333,65.2,134.6,0.088,0.14,0,-100,117.6,46.2,0,0,0,108,119.6,8035302.432289879,66.8,17.68,3042,1.48,266180.6389575277,2.894,-4.2,8.675230979919434,-3.0367720451310674,7197.161911225592,46,0.9932420582441408,7.18,5.46,3.02
B,5.42,24.06666667,0.122666667,67.4,139,0.076,0.1,0.04,-100,121.4,40,0,0,0,108,131.4,7963329.667598801,65.8,12.9,1972,1.6,280519.76162311755,3.32,-4.4,8.580280303955078,-2.2700140931092774,7197.161911225592,46,0.9932420582441408,7.16,5.42,3
A,5.406666667,23.92,0.332666667,66.8,138,0.1934,0.48,0.04,-100,130.54,43.8,0,0,0,110,121,8035302.432289879,65.8,17.7,2502,1.52,274561.1476169988,2.992,-4.4,8.63363265991211,-2.9532391697428935,7197.161911225592,46,0.9932420582441408,7.14,5.44,3.1
D,5.473333333,24.02666667,0.256,72.6,144,0.146,0.1,0.02,-100,126.6,40.8,0,0,0,106,120.8,509801.5982785199,66,22.8,28,1.48,10106.506844911488,2.892,-4.2,9.064845085144043,-2.2700140931092774,7197.161911225592,46,0.9932420582441408,7.78,5.52,3.12
